reviewId,review,Ticketing,Information Channels,Travel Experience
207e51b1-7c28-45d0-a1a2-a3172f1c02aa,jangan Pesan tiket bus disini saya pesen Po adi bus terua di batal kan secara sepihak oleh po nya tapi uang saya engak kembali,,,negatif
78c799f0-275a-461c-9039-7079f7a08934,harga tiket lebih murah dari agen,positif,,
1f535a4d-1f28-47ff-90c5-ffeb55b28e20,cs tidak ada respon dalam permasalahan tiket,,negatif,
1448a3ba-47bb-4442-92c5-3f15d9ad59f6,juoooosss,,,
80d3a3b2-df54-4969-8339-79e8c3011978,sangat bguss,,,
e0c28f15-1230-4f30-a988-27f50e3252ac,Terdapat kendala mengenai dana pengembalian pembatalan tiket yang tidak kunjung dikembalikan padahal sudah menghubungi pihak terkait dan menunggu berbulan-bulan,,negatif,
36ee21ef-72e2-4625-8602-b08d79079463,1. Saya sudah beli tiket via redbus namun tidak ada bus yang datang menjemput. 2. saya cari bantuan ke layanan CS hanya di jawab oleh AI dan saya coba hubungi nomor yang ada di aplikasi tidak membantu sama sekali. 3. Nomor polisi (plat nomor) bus yang akan kita naiki tidak tertera di aplikasi.,,negatif,negatif
e968ac46-6bb9-4eec-b220-ec7164fa6783,bagus,,,
dc3ff570-0b91-4ebe-9ea0-1f251f2054b0,good,,,
12d58414-6be7-4725-8bc4-fa27b40e9928,"aplikasi tidak jelas tolonglah koordinasinya di perbaiki dgn pihak bus, sya jdi harus pesan tikwt bis lain secara maual, link tidak bisa di akses tolong kerja yg benar yg jujur",negatif,negatif,negatif
5ededd1c-5164-41e9-907a-7092735f18ed,"sering banget sebulan bisa sampai 4/5 kali pesan di redbus. tapi aku beberapa kali nemuin anomali di appsnya. Promo tertulis potongan 10rb, sungguh kocak. cuman tetep aku pakai nih apps, karena untuk mengamankan kursi bisnya dulu.",,positif,
5732a780-f0e1-4046-a083-68dc29d57074,sebenernya beli tiket bus pakai app ini bisa nggak sih? aku baru mau coba padahal di app tulisannya tersedia 46 dari 46 kursi. tapi giliran di klik nggak bisa. malah muncul seat layout unavailable.,,negatif,
362f90ae-a988-458a-9c97-d07f8a626fd4,Aplikasi sering bug,,negatif,
e27652fe-02aa-4d52-aa04-79239e3bd730,bagus,,,
b23b66cb-b8ac-4973-9e0d-a0deee83491b,Posisi bangku yang dipilih dari aplikasi tidak sesuai dengan yang disediakan PO bisnya,,,negatif
00916aaa-4373-41be-b786-e6b174f50f9a,jadwal yg tertulis di aplikasi g sesuai..kl selisih 1 jam-an sih wajar..pengalaman naik pekalongan-pulogebang g pernah tepat waktu molor...waktu tiba sampai 4 jam,,negatif,negatif
8f8f4a00-a545-4dc4-9512-6ef566be7ce4,di apk keberangkatan jam 1 sampe jam 2 bus belum datang dan gabisa mantau lokasi bus!!!,,,negatif
01ff2e9d-aaf0-4fbd-9d79-203f3f0b4ae5,aplikasi macam apa ini..?? masa saya cari bus dari Terminal Ubung tujuan Kediri (Jatim) tidak ada bus ditemukan,,negatif,
6d5286e2-b06d-4058-abb9-cc9b10a9c9aa,bus belom menjemput,,,
c993a2d4-dc72-44be-adb1-4932726b798c,mudah untuk berpergian kita tinggal pilih bus yang saya inginkan,,positif,
e2ed016c-2ab5-44c9-a9c9-fd821e0352e1,"Diaplikasi infonya dpt kursi 4A. tiba"" tidak ada info apa"" penumpang disuruh duduk di kursi paling belakang 11A.",,negatif,negatif
abb17de4-a007-46b8-b5e0-1c7f5de9ee4a,Joooooossssss🥰,,,
0d695a34-f244-42b8-86d8-4e6b02506fb8,perlu peningkatan layanan.pembayaran memakai poin tidak bisa di gunakan di semua bus. masa aktif poin terlalu singkat percuma dapat poin kalau tidak bisa digunakan,negatif,negatif,
500c0da8-1605-4a34-b4a9-1074aa68734c,aplikasi tiketing Ter keren👍,,,
